producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,5,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,10,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,15,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,20,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,30,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,35,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,36,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,50,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,52,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,54,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,57,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,58,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,59,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,tmpfs,60,tmpfs,1,0.0007586894510598638,0.0,0.0007586894510598638
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,5,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,10,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,15,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,20,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,30,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,35,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,36,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,50,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,52,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,54,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,57,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,58,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,59,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,ssd,60,ssd,1,0.0022244981877407965,0.0,0.0022244981877407965
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,5,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,10,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,15,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,20,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,30,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,35,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,36,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,50,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,52,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,54,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,57,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,58,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,59,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-mutation_overlap,0.5,mutation_overlap,1.0,beegfs,60,beegfs,1,0.00260958104071099,0.0,0.00260958104071099
stage_in-frequency,0.5,frequency,1.0,tmpfs,5,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,10,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,15,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,20,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,30,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,35,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,36,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,50,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,52,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,54,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,57,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,58,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,59,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-frequency,0.5,frequency,1.0,tmpfs,60,tmpfs,1,0.004612808146977419,0.0,0.004612808146977419
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,5,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,10,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,15,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,20,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,30,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,35,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,36,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,50,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,52,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,54,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,57,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,58,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,59,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,ssd,60,ssd,1,0.004748984851529508,0.0,0.004748984851529508
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,5,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,10,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,15,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,20,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,30,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,35,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,36,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,50,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,52,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,54,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,57,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,58,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,59,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,60,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-frequency,0.5,frequency,1.0,beegfs,5,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,10,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,15,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,20,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,30,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,35,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,36,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,50,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,52,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,54,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,57,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,58,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,59,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,60,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,5,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,10,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,15,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,20,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,30,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,35,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,36,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,50,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,52,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,54,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,57,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,58,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,59,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,60,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-frequency,0.5,frequency,1.0,ssd,5,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,10,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,15,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,20,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,30,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,35,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,36,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,50,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,52,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,54,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,57,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,58,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,59,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-frequency,0.5,frequency,1.0,ssd,60,ssd,1,0.029038056726342524,0.0,0.029038056726342524
stage_in-individuals,0.5,individuals,1.0,ssd,5,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,10,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,15,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,20,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,30,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,35,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,36,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,50,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,52,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,54,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,57,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,58,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,59,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,ssd,60,ssd,30,0.04792121182399021,0.0,0.04792121182399021
stage_in-individuals,0.5,individuals,1.0,tmpfs,5,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,10,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,15,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,20,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,30,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,35,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,36,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,50,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,52,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,54,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,57,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,58,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,59,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-individuals,0.5,individuals,1.0,tmpfs,60,tmpfs,30,0.0549227774571394,0.0,0.0549227774571394
stage_in-sifting,0.5,sifting,1.0,ssd,5,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,10,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,15,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,20,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,30,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,35,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,36,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,50,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,52,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,54,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,57,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,58,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,59,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,ssd,60,ssd,1,0.1745151272788752,0.0,0.1745151272788752
stage_in-sifting,0.5,sifting,1.0,tmpfs,5,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,10,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,15,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,20,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,30,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,35,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,36,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,50,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,52,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,54,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,57,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,58,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,59,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-sifting,0.5,sifting,1.0,tmpfs,60,tmpfs,1,0.26187402485487965,0.0,0.26187402485487965
stage_in-individuals,0.5,individuals,1.0,beegfs,5,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,10,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,15,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,20,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,30,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,35,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,36,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,50,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,52,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,54,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,57,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,58,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,59,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-individuals,0.5,individuals,1.0,beegfs,60,beegfs,30,0.4399620009456786,0.0,0.4399620009456786
stage_in-sifting,0.5,sifting,1.0,beegfs,5,beegfs,1,0.993282733733404,0.0,0.993282733733404
stage_in-sifting,0.5,sifting,1.0,beegfs,10,beegfs,1,0.993282733733404,0.0,0.993282733733404
stage_in-sifting,0.5,sifting,1.0,beegfs,15,beegfs,1,0.993282733733404,0.0,0.993282733733404
stage_in-sifting,0.5,sifting,1.0,beegfs,20,beegfs,1,0.993282733733404,0.0,0.993282733733404
stage_in-sifting,0.5,sifting,1.0,beegfs,30,beegfs,1,0.993282733733404,0.0,0.993282733733404
stage_in-sifting,0.5,sifting,1.0,beegfs,35,beegfs,1,0.993282733733404,0.0,0.993282733733404
stage_in-sifting,0.5,sifting,1.0,beegfs,36,beegfs,1,0.993282733733404,0.0,0.993282733733404
stage_in-sifting,0.5,sifting,1.0,beegfs,50,beegfs,1,0.993282733733404,0.0,0.993282733733404
stage_in-sifting,0.5,sifting,1.0,beegfs,52,beegfs,1,0.993282733733404,0.0,0.993282733733404
